"RegistrationNo","FacilityName","TaxidNo","Address","Latitude","Longitude"
"E2205246","台灣聚合化學品股份有限公司",11917107,"高雄市仁武區後安里鳳仁路３３０號",22.7139428,120.3376327
"E2205620","高福化學工業股份有限公司",75415298,"高雄市仁武區鳳仁路３８５號",22.7155617,120.3356817
"E2300675","亞東工業氣體股份有限公司大社廠",22522453,"高雄市大社區三奶里三民路５３９之５號",22.7312242,120.3414806
"E2301823","寶力威精細材料股份有限公司萬金廠",54202496,"高雄市大社區保社里旗楠路１３３巷１５號",22.7542019,120.3558479
"E2401917","薈昇企業有限公司美山廠",23963436,"高雄市鳥松區美山路７７巷５號",22.6466699,120.3855457
"E2600787","漢棠企業有限公司",80388715,"高雄市燕巢區鳳雄里鳳旗路３５６號",22.7530091,120.350854
"E2602441","泓達化工股份有限公司燕巢廠-土壤及地下水污染控制場址",23418128,"高雄市燕巢區角宿里中興路９２２號",22.7761679,120.3605456
"E2602674","鎵田有限公司",82868583,"高雄市燕巢區安招里安北路２００號",22.7918697,120.3461016
"E2900264","台灣賽孚思科技股份有限公司高科總部",70848205,"高雄市路竹區竹南里路科三路１５號",22.8405846,120.2594378
"E2900700","國亨化學股份有限公司",22522756,"高雄市路竹區後鄉里長興路６６號",22.8462226,120.2429926
"E2901476","台灣賽孚思科技股份有限公司",70848205,"高雄市路竹區路科三路１５號",22.8405846,120.2594378
"E2901565","誠泰工業科技股份有限公司高科廠",88744414,"高雄市路竹區路科三路１號",22.8309889,120.2607221
"E2902268","欣全實業股份有限公司高雄一廠",12107371,"高雄市路竹區中山南路５１號",22.8268664,120.2669434
"E2904566","日旺實業有限公司-日旺實業有限公司廠房新建工程",52455776,"高雄市路竹區聖母段３１地號",22.8494042,120.2628111
"E2904888","新揚科技股份有限公司二廠",70774800,"高雄市路竹區路科二路１０號",22.828654,120.2589548
"E3000423","霖昌能源股份有限公司",27659013,"高雄市湖內區中山路一段１１０號",22.8790962,120.2515939
"E3001153","融美壓克力股份有限公司",80705851,"高雄市湖內區中正路二段３９７巷１７號",22.9073291,120.2030687
